src,dst,resource,value,weight
NER,AZE,Agricultural products,0.509,0.13
NER,AUS,Agricultural products,74.451,28.107
NER,BHR,Fossil fuels,1179.932,1768.185
NER,BEL,Agricultural products,6.692,20
NER,BEL,Fossil fuels,1.402,1.152
NER,BOL,Metals and minerals,19.976,42.896
NER,BWA,Agricultural products,0.058,0.03
NER,BRA,Agricultural products,5364.419,8510.415
NER,BLZ,Agricultural products,18.069,36
NER,BRN,Agricultural products,2.928,10.75
NER,BGR,Agricultural products,7.612,50.3
NER,CMR,Fossil fuels,25.75,35.34
NER,CAN,Agricultural products,16.547,4.225
NER,CAN,Metals and minerals,0.224,0.179
NER,LKA,Agricultural products,19.538,2.153
NER,CHN,Agricultural products,132826.058,141730.492
NER,CHN,Fertilizers,110.421,768.75
NER,CHN,Fossil fuels,13.6115909,17.5201273
NER,CHN,Metals and minerals,9.781,12.441
NER,CZE,Agricultural products,2.935,1.274
NER,CZE,Fossil fuels,1.886,0.599
NER,CZE,Metals and minerals,148.771,72.574
NER,BEN,Agricultural products,2489.3685976,11420.645501
NER,BEN,Fossil fuels,NA,NA
NER,BEN,Metals and minerals,61.554,2439.7
NER,ECU,Fossil fuels,17.836,1.819
NER,ERI,Fossil fuels,17.748,39.744
NER,FIN,Agricultural products,3.36,10.242
NER,FRA,Agricultural products,950.78356118,1744.06345919
NER,FRA,Fossil fuels,478.534429,586.806429
NER,FRA,Metals and minerals,55853.3554,603.746973
NER,FRA,Pearls and gemstones,0.549,0.12
NER,GAB,Agricultural products,4.731,15.45
NER,PSE,Forestry products,6.278,7.662
NER,DEU,Agricultural products,794.631,694.204
NER,DEU,Metals and minerals,NA,NA
NER,GHA,Agricultural products,7354.68003,39448.0278
NER,GHA,Fossil fuels,408.785,636.761
NER,GHA,Metals and minerals,0.88,41.25
NER,GRC,Forestry products,7.414,22
NER,GIN,Agricultural products,2.008,0.1
NER,HTI,Agricultural products,50.192,72.1
NER,HKG,Agricultural products,1266.337,1050.815
NER,HKG,Metals and minerals,16.619,21.5
NER,IDN,Agricultural products,16968.509,10047.15
NER,IDN,Metals and minerals,NA,NA
NER,IRL,Agricultural products,1.447,1.384
NER,ISR,Forestry products,7,20.175
NER,CIV,Agricultural products,253.88,2444.2
NER,CIV,Fossil fuels,179.466,248.911
NER,JAM,Agricultural products,2.578,15.41
NER,JPN,Agricultural products,164.958,8.642
NER,PRK,Fossil fuels,2.107,2.523
NER,KOR,Agricultural products,34.642,4.475
NER,KOR,Fossil fuels,2.634,0.075
NER,KWT,Agricultural products,2.492,2.8
NER,LBN,Agricultural products,177.342,265.715
NER,LBN,Forestry products,20.593,31.5
NER,LBY,Agricultural products,22.218,33.2
NER,LUX,Metals and minerals,10.79,2.102
NER,MDG,Fossil fuels,22.185,38.783
NER,MYS,Agricultural products,102676.668,53533.026
NER,MLI,Agricultural products,661.516,785.769
NER,MLI,Fossil fuels,30928.924821,53693.943227
NER,MNG,Agricultural products,NA,NA
NER,MDA,Agricultural products,0.467,0.115
NER,MAR,Agricultural products,121.195,122.003
NER,MAR,Metals and minerals,0.017,0.11
NER,NAM,Agricultural products,13.074,24.51
NER,NLD,Fossil fuels,20.952,47.612
NER,NZL,Agricultural products,27.724,4.8
NER,NIC,Agricultural products,48.184,72
NER,NIC,Fossil fuels,36.69,36
NER,NGA,Agricultural products,9515.7117826,19756.7410332
NER,NGA,Forestry products,1.464,0.5
NER,NGA,Fossil fuels,75311.437,174020.748
NER,NGA,Metals and minerals,239.439,3076.947
NER,NFK,Agricultural products,4.768,19
NER,NFK,Fossil fuels,16.017,33.12
NER,UMI,Agricultural products,NA,NA
NER,PLW,Metals and minerals,NA,NA
NER,PAK,Agricultural products,150.574,225
NER,POL,Agricultural products,49.135,12.106
NER,POL,Metals and minerals,88.867,158.44
NER,RUS,Fossil fuels,15.532,26.701
NER,RWA,Fossil fuels,0.457,0.317
NER,SAU,Agricultural products,1.338,4
NER,SEN,Agricultural products,3.879,0.123
NER,IND,Agricultural products,21121.118,29506.807
NER,IND,Fossil fuels,464.238,827.163
NER,IND,Metals and minerals,154.646,151.2
NER,SGP,Agricultural products,7529.055,5438.938
NER,SGP,Fertilizers,0.524,0.4
NER,SVK,Agricultural products,2135.687,1612.8
NER,SVK,Fossil fuels,2.025,0.6
NER,ZAF,Agricultural products,1.509,0.234
NER,ZAF,Fossil fuels,1.142,0.126
NER,ZAF,Metals and minerals,6.692,33.75
NER,ESP,Agricultural products,2799.856,2705.873
NER,ESP,Metals and minerals,231.257,68.576
NER,SWE,Forestry products,0.467,6
NER,CHE,Agricultural products,330.124,799.66
NER,CHE,Metals and minerals,34133.622,21.85757525
NER,THA,Agricultural products,107022.863,202501.121
NER,THA,Pearls and gemstones,0.08,0.004
NER,TGO,Agricultural products,576.548,3248.384
NER,ARE,Agricultural products,303.152,213.444
NER,ARE,Metals and minerals,163167.43,4.489
NER,TUN,Agricultural products,92.696,130.085
NER,TUR,Agricultural products,353.534,226.179
NER,TUR,Fossil fuels,5.856,3
NER,TUR,Metals and minerals,86.756,0.027
NER,UGA,Fossil fuels,NA,NA
NER,TZA,Agricultural products,7.93,1.026
NER,USA,Agricultural products,229.81,52.556
NER,USA,Fertilizers,45.656,65
NER,USA,Fossil fuels,221.506,233.542
NER,USA,Metals and minerals,19547.72,300.001
NER,BFA,Agricultural products,5682.85072833,36545.9548747
NER,BFA,Fertilizers,58.961,730.1
NER,BFA,Fossil fuels,26983.19,48644.3882
NER,BFA,Metals and minerals,24.4419525,122.7670577
NER,VEN,Fossil fuels,0.4,0.441
NGA,DZA,Agricultural products,629.343,NA
NGA,ATG,Agricultural products,NA,NA
NGA,ARG,Agricultural products,6.055,1.618
NGA,ARG,Fertilizers,5451.57026,19655.9697
NGA,ARG,Fossil fuels,288291.009,764312.107
NGA,AUS,Agricultural products,187.566,125.093
NGA,AUS,Forestry products,117.43,334.623
NGA,AUS,Fossil fuels,56820.355,149866.847
NGA,BHR,Agricultural products,6746.523,985.364
NGA,BHR,Forestry products,103.263,204.868
NGA,BGD,Forestry products,12.25,142.695
NGA,ARM,Agricultural products,635.27,201.857
NGA,BRB,Agricultural products,0.71,0.122
NGA,BEL,Agricultural products,48811.157,11017.2978
NGA,BEL,Forestry products,8437.482,34775.943
NGA,BEL,Fossil fuels,44103.929,104688.285
NGA,BEL,Metals and minerals,7792.024,3230.208
NGA,BMU,Agricultural products,0.056,0.003
NGA,BOL,Agricultural products,11.028,2.07
NGA,BIH,Agricultural products,129.993,10.033
NGA,BWA,Agricultural products,4.154,1.378
NGA,BWA,Metals and minerals,0.223,0.078
NGA,BRA,Agricultural products,903.49,190.329
NGA,BRA,Fertilizers,42515.2509,143873.693
NGA,BRA,Forestry products,0.34,0.44
NGA,BRA,Fossil fuels,889937.8146,2441113.9785
NGA,BRA,Metals and minerals,0.416,2.32
NGA,BGR,Agricultural products,1383.94,609.055
NGA,BGR,Forestry products,27.784,107.484
NGA,BGR,Metals and minerals,1093.726,256.21
NGA,MMR,Agricultural products,544.358,NA
NGA,BLR,Agricultural products,9153.8,9074.427
NGA,KHM,Agricultural products,13.11,48.936
NGA,KHM,Forestry products,34.097,42
NGA,CMR,Agricultural products,440.562,701.645
NGA,CMR,Fossil fuels,477031.199,1257115.8
NGA,CAN,Agricultural products,27970.7433531,8796.179073
NGA,CAN,Forestry products,2.019,0.673
NGA,CAN,Fossil fuels,967426.393,2503714.38
NGA,CAN,Metals and minerals,19.718,27.307
NGA,CAN,Pearls and gemstones,NA,NA
NGA,CPV,Agricultural products,0.038,0.04
NGA,CPV,Fossil fuels,98266.221,258960.04
NGA,LKA,Agricultural products,48.411,9.59
NGA,LKA,Fossil fuels,0.371,0.029
NGA,LKA,Metals and minerals,262.465,132.85
NGA,LKA,Pearls and gemstones,NA,NA
NGA,TCD,Metals and minerals,NA,NA
NGA,CHL,Metals and minerals,0.171,0.001
NGA,CHL,Pearls and gemstones,NA,NA
NGA,CHN,Agricultural products,27204.5660095,10439.8959833
NGA,CHN,Forestry products,129893.789247,283685.577944
NGA,CHN,Fossil fuels,495805.3306,1214314.745
NGA,CHN,Metals and minerals,70785.5554173,44924.0836592
NGA,CHN,Pearls and gemstones,15.445,NA
NGA,COL,Agricultural products,88.424,35.9
NGA,COL,Fossil fuels,35264.466,92932.113
NGA,HRV,Agricultural products,129.517,58.24
NGA,CYP,Agricultural products,0.388,0.225
NGA,CZE,Agricultural products,349.326,95.536
NGA,CZE,Metals and minerals,4012.618,82.643
NGA,CZE,Pearls and gemstones,60.28,0.087
NGA,BEN,Agricultural products,194.864,1307.618
NGA,BEN,Forestry products,301.312,3541.922
NGA,BEN,Fossil fuels,1778.564,3211.707
NGA,BEN,Metals and minerals,3399.9350828,10221.2844197
NGA,BEN,Pearls and gemstones,NA,NA
NGA,DNK,Agricultural products,25.198,6.592
NGA,DNK,Fossil fuels,17985.8947,55831.4393
NGA,DNK,Metals and minerals,0.001,0.03
NGA,DOM,Agricultural products,1.673,0.895
NGA,DOM,Fossil fuels,3863.316,9523.466
NGA,SLV,Agricultural products,427.155,217.074
NGA,GNQ,Agricultural products,11.577,3.845
NGA,ETH,Agricultural products,0.173,0.215
NGA,EST,Agricultural products,8825.29609,1996.993622
NGA,EST,Metals and minerals,6002.128,475.075
NGA,FIN,Agricultural products,728.510942,483.472863
NGA,FIN,Fossil fuels,8031.59,23451.388
NGA,FIN,Pearls and gemstones,0.216,0.002
NGA,FRA,Agricultural products,60277.35654,10380.0943163
NGA,FRA,Fertilizers,3253.511,12026.42
NGA,FRA,Forestry products,1323.283,5132.641
NGA,FRA,Fossil fuels,2178263.804,5889356.894
NGA,FRA,Metals and minerals,607.152,231.526
NGA,FRA,Pearls and gemstones,1611.251,0.009
NGA,GAB,Agricultural products,140.811,46.76
NGA,GAB,Metals and minerals,82.426,310.006
NGA,GEO,Agricultural products,13.681,5.095
NGA,GMB,Agricultural products,13.302,61.611
NGA,GMB,Fertilizers,44.47,20
NGA,GMB,Fossil fuels,0.156,0.3
NGA,GMB,Metals and minerals,0.076,0.3
NGA,PSE,Forestry products,21.707,41.482
NGA,DEU,Agricultural products,153881.1751724,57953.6720336
NGA,DEU,Forestry products,7908.275,27609.583
NGA,DEU,Fossil fuels,758872.529,2149177.602
NGA,DEU,Metals and minerals,52438.546,30003.474
NGA,DEU,Pearls and gemstones,2094.423,2.559
NGA,GHA,Agricultural products,12280.4177061,14730.917693
NGA,GHA,Forestry products,3.271,2.79
NGA,GHA,Fossil fuels,303340.498561,799320.111211
NGA,GHA,Metals and minerals,5368.0358295,60451.0085057
NGA,GIB,Fossil fuels,252253.947,665641.955
NGA,GRC,Agricultural products,6417.004,0.919
NGA,GRC,Forestry products,847.443,2636.21
NGA,GRC,Metals and minerals,3967.849,1762.914
NGA,GTM,Agricultural products,438.862,961.223
NGA,GIN,Metals and minerals,816.327,821.421
NGA,VAT,Agricultural products,NA,NA
NGA,HND,Agricultural products,154.978,72.841
NGA,HKG,Agricultural products,31744.628961,4494.5686219
NGA,HKG,Fossil fuels,511.003,979
NGA,HKG,Metals and minerals,10714.992,1532.84
NGA,HKG,Pearls and gemstones,NA,NA
NGA,HUN,Agricultural products,2.868,0.009
NGA,ISL,Agricultural products,1.966,0.844
NGA,IDN,Agricultural products,3017.778328,1185.659342
NGA,IDN,Forestry products,90.7415792,524.75862
NGA,IDN,Fossil fuels,1273895.9434,3470893.1044
NGA,IDN,Metals and minerals,3218.215405,1709.501595
NGA,IRN,Agricultural products,NA,NA
NGA,IRQ,Agricultural products,NA,NA
NGA,IRL,Agricultural products,1000.479,9203.678
NGA,IRL,Forestry products,344.52,685.065
NGA,IRL,Fossil fuels,13088.2839,37537.7913
NGA,IRL,Metals and minerals,0.986,0.112
NGA,ISR,Agricultural products,2242.7190843,2108.4744942
NGA,ISR,Forestry products,926,2577.485
NGA,ITA,Agricultural products,88412.55768157,10000.19298445
NGA,ITA,Fertilizers,67.301,206.2
NGA,ITA,Forestry products,2097.565,7091.903
NGA,ITA,Fossil fuels,628222.1209,1711696.8245
NGA,ITA,Metals and minerals,6037.96378847,1080.629915
NGA,ITA,Pearls and gemstones,355.298,0.001
NGA,CIV,Agricultural products,3100.279,4599.33
NGA,CIV,Fossil fuels,778936.383,2052723.67
NGA,CIV,Metals and minerals,290.251,614.295
NGA,JAM,Agricultural products,14.903,4.684
NGA,JAM,Fossil fuels,17675.04,41692.654
NGA,JPN,Agricultural products,58726.98,54330.756
NGA,JPN,Forestry products,11.151,9.347
NGA,JPN,Fossil fuels,440795.511,1066731.014
NGA,JPN,Metals and minerals,33725.52286,16786.64493
NGA,JPN,Pearls and gemstones,NA,NA
NGA,KAZ,Agricultural products,17.468,10.228
NGA,JOR,Agricultural products,874.8405,43.791
NGA,JOR,Forestry products,280.786,410.76
NGA,JOR,Fossil fuels,176390.119,429652.857
NGA,KOR,Agricultural products,5656.8681131,714.300357
NGA,KOR,Fertilizers,0.015,0.001
NGA,KOR,Fossil fuels,309817.91,800729.801
NGA,KOR,Metals and minerals,96321.728224,34490.668193
NGA,KWT,Agricultural products,598.333,196.732
NGA,KWT,Forestry products,1212.272,4386.457
NGA,KWT,Fossil fuels,62881.881,148328.517
NGA,KGZ,Agricultural products,1.829,0.197
NGA,KGZ,Metals and minerals,0.281,0.005
NGA,KGZ,Pearls and gemstones,0.033,0.001
NGA,LBN,Agricultural products,720.474,513.627
NGA,LBN,Forestry products,4451.668,8985.728
NGA,LBN,Pearls and gemstones,NA,NA
NGA,LVA,Agricultural products,48.128,24.615
NGA,LBR,Agricultural products,16.602,4.615
NGA,LTU,Agricultural products,684.595,489.116
NGA,LUX,Agricultural products,19.818,2.458
NGA,LUX,Forestry products,2.821,5.13
NGA,LUX,Metals and minerals,0.228,0.001
NGA,MAC,Agricultural products,854.731,3.049
NGA,MYS,Agricultural products,44119.41917613,16085.04566478
NGA,MYS,Forestry products,29.113,227.972
NGA,MYS,Fossil fuels,113545.525,299225.448
NGA,MYS,Metals and minerals,52532.472581,4795.262957
NGA,MLI,Agricultural products,74.621,87.837
NGA,MLT,Agricultural products,2.447,0.229
NGA,MLT,Forestry products,15.892,21
NGA,MLT,Fossil fuels,1609.556,3832.885
NGA,MRT,Agricultural products,406.037,727.471
NGA,MUS,Agricultural products,1.813,0.08
NGA,MEX,Agricultural products,30984.2815,17264.768
NGA,MEX,Fossil fuels,43448.077,100820.477
NGA,MNG,Agricultural products,4.588,3.726
NGA,MDA,Agricultural products,1.324,0.3
NGA,MNE,Agricultural products,0.1,0.01
NGA,MNE,Forestry products,1.637,0.725
NGA,MAR,Agricultural products,26120.642,21836.697
NGA,MAR,Fossil fuels,8432.062,24610.452
NGA,OMN,Agricultural products,0.601,0.692
NGA,OMN,Forestry products,41.03,121.04
NGA,NAM,Agricultural products,0.322,0.169
NGA,NAM,Fossil fuels,NA,NA
NGA,NLD,Agricultural products,325192.661837,99363.2920758
NGA,NLD,Fertilizers,0.092,0.285
NGA,NLD,Forestry products,0.679,1.535
NGA,NLD,Fossil fuels,1869105.1014,5013255.6984
NGA,NLD,Metals and minerals,5491.724,4291.025
NGA,NLD,Pearls and gemstones,NA,NA
NGA,ABW,Fossil fuels,12894.936,35672.996
NGA,NZL,Agricultural products,3.489,0.298
NGA,NZL,Pearls and gemstones,2.082,0.001
NGA,NER,Agricultural products,4355.807,32310.343
NGA,NER,Fertilizers,4376.736,12339.136
NGA,NER,Forestry products,535.172,1334.652
NGA,NER,Fossil fuels,186.441,530.374
NGA,NER,Metals and minerals,30836.8389477,234703.106989
NGA,NER,Pearls and gemstones,NA,NA
NGA,NOR,Agricultural products,63.486,13.585
NGA,NOR,Fossil fuels,16995.28536,61503.1605
NGA,PAK,Agricultural products,504.511,189.255
NGA,PAK,Fossil fuels,43649.965,102963.435
NGA,PAK,Metals and minerals,604.112,369.095
NGA,PAN,Fossil fuels,119870,315892.275
NGA,PER,Agricultural products,19.248,11.7
NGA,PER,Fossil fuels,49482.9701,129146.382
NGA,PHL,Agricultural products,0.293,0.305
NGA,PHL,Fossil fuels,24045.416,58203.46
NGA,PHL,Metals and minerals,76.0591422,38.9028168
NGA,POL,Agricultural products,7696.83102667,2308.595197
NGA,POL,Forestry products,10320.567,47671.389
NGA,POL,Fossil fuels,41519.5313,112935.13
NGA,POL,Metals and minerals,2564.6415,2478.514
NGA,PRT,Agricultural products,6671.4177481,7563.27140137
NGA,PRT,Forestry products,3345.572,12402.788
NGA,PRT,Fossil fuels,424536.683,1058228.313
NGA,PRT,Metals and minerals,580.441,306.079
NGA,QAT,Agricultural products,12.92,14
NGA,QAT,Forestry products,557.177,1562.251
NGA,QAT,Fossil fuels,24.421,68.11
NGA,ROU,Agricultural products,1038.09035,744.606717
NGA,ROU,Forestry products,23.274,83.976
NGA,RUS,Agricultural products,14070.757472,3617.571761
NGA,RUS,Forestry products,NA,NA
NGA,RUS,Metals and minerals,286.765,32.925
NGA,RWA,Fossil fuels,311.605,599.705
NGA,LCA,Agricultural products,0.224,0.102
NGA,STP,Agricultural products,3.374,1.914
NGA,STP,Fossil fuels,80.588,108.544
NGA,SAU,Agricultural products,467.949,555.653
NGA,SAU,Forestry products,854.668,1972
NGA,SEN,Agricultural products,1471.689586,2701.273808
NGA,SEN,Fertilizers,0.002,0.143
NGA,SEN,Forestry products,35.996,97.988
NGA,SEN,Fossil fuels,430030.138,1176936.111
NGA,SEN,Metals and minerals,2769.805,4008.94
NGA,SRB,Agricultural products,840.844,369.541
NGA,SRB,Fossil fuels,28772.768,88130.485
NGA,SYC,Agricultural products,0.103,0.035
NGA,SLE,Agricultural products,181.737966,76.7220571
NGA,SLE,Fertilizers,34.026,15.72
NGA,SLE,Fossil fuels,4.724,15.72
NGA,SLE,Metals and minerals,671.09,338.231
NGA,IND,Agricultural products,81555.2855713,38983.15523411
NGA,IND,Forestry products,7625.783,15958.034
NGA,IND,Fossil fuels,6346036.059,17386002.64
NGA,IND,Metals and minerals,47293.624545,31101.479789
NGA,IND,Pearls and gemstones,818.494,11.11
NGA,SGP,Agricultural products,12989.466727,4569.453311
NGA,SGP,Fossil fuels,359848.941,949844.123
NGA,SGP,Metals and minerals,335.124,199.29
NGA,SVK,Agricultural products,1066.614,687.114
NGA,VNM,Agricultural products,23393.544,22559.246
NGA,VNM,Forestry products,1597.331,15737.986
NGA,SVN,Agricultural products,36.765,11.672
NGA,ZAF,Agricultural products,4721.696275,5701.911999
NGA,ZAF,Fertilizers,2725.26,14513.414
NGA,ZAF,Forestry products,10.122,12.353
NGA,ZAF,Fossil fuels,1887828.317,5185749.088
NGA,ZAF,Metals and minerals,734.02198287,745.51859737
NGA,ZAF,Pearls and gemstones,23.031,18.947
NGA,ZWE,Agricultural products,0.012,0.102
NGA,ESP,Agricultural products,58729.81757,18000.9341015
NGA,ESP,Forestry products,1000.758,3406.683
NGA,ESP,Fossil fuels,3098992.3,8315029.602
NGA,ESP,Metals and minerals,8292.982337,2667.486893
NGA,SDN,Agricultural products,2.162,0.174
NGA,SWE,Agricultural products,27.817,35.67
NGA,SWE,Fossil fuels,656533.922,1804521.7
NGA,SWE,Metals and minerals,0.234,4.442
NGA,SWE,Pearls and gemstones,NA,NA
NGA,CHE,Agricultural products,244.865,50.425
NGA,CHE,Fossil fuels,327291.136,1013197
NGA,CHE,Metals and minerals,4089.451,0.112
NGA,CHE,Pearls and gemstones,189.938,0.183
NGA,SYR,Agricultural products,NA,NA
NGA,THA,Agricultural products,403.988306,261.801363
NGA,THA,Forestry products,1015.458361,3794.70123
NGA,THA,Fossil fuels,39950.098,124856.441
NGA,THA,Metals and minerals,3312.457147,1794.9728792
NGA,THA,Pearls and gemstones,689.069,36.719
NGA,TGO,Agricultural products,3318.530649,10684.07294
NGA,TGO,Fossil fuels,177662.778,463382.207
NGA,TGO,Metals and minerals,3827.67916,49869.5142
NGA,ARE,Agricultural products,7603.54888302,6321.0593516
NGA,ARE,Forestry products,3978.046,12263.739
NGA,ARE,Fossil fuels,189943.594,448047.084
NGA,ARE,Metals and minerals,713997.681,484.912
NGA,ARE,Pearls and gemstones,NA,NA
NGA,TUN,Agricultural products,2078.705,873.084
NGA,TUN,Fossil fuels,13740.1661,41053.9819
NGA,TUR,Agricultural products,133307.108235,75681.0854082
NGA,TUR,Forestry products,4488.745,13802.276
NGA,TUR,Fossil fuels,211366.6882,505480.9172
NGA,TUR,Metals and minerals,46.034,34.912
NGA,UGA,Agricultural products,13.979,37.062
NGA,UGA,Fossil fuels,13.304,20.91
NGA,UGA,Metals and minerals,1.017,0.13
NGA,MKD,Agricultural products,86.327,49.853
NGA,MKD,Metals and minerals,3.081,0.15
NGA,EGY,Agricultural products,5900.369467,2944.3139985
NGA,EGY,Fossil fuels,228021.965,531051.49
NGA,EGY,Metals and minerals,27.343,17.921
NGA,GBR,Agricultural products,30725.44454988,11871.94713149
NGA,GBR,Forestry products,2648.774,7469.691
NGA,GBR,Fossil fuels,1137764.1721,3102810.3553
NGA,GBR,Metals and minerals,1188.822443,147.7389208
NGA,TZA,Agricultural products,1.553,1.536
NGA,TZA,Forestry products,63.364,438.633
NGA,USA,Agricultural products,23121.07650943,6513.37553244
NGA,USA,Fertilizers,7165.318,31581
NGA,USA,Forestry products,192.404,484.5
NGA,USA,Fossil fuels,3985425.146,10930030.798
NGA,USA,Metals and minerals,2911.618,1479.136
NGA,USA,Pearls and gemstones,NA,NA
NGA,BFA,Agricultural products,68.76,334.668
NGA,BFA,Fertilizers,36.749,329
NGA,BFA,Forestry products,4.834,39.576
NGA,BFA,Fossil fuels,3634.141,5969.481
NGA,BFA,Metals and minerals,83.0936285,201.400643
NGA,BFA,Pearls and gemstones,NA,NA
NGA,URY,Agricultural products,2008.16,810.619
NGA,URY,Fertilizers,13309.4402,45187.9043
NGA,URY,Fossil fuels,158156.112,445884.295
NGA,VEN,Agricultural products,NA,NA
NIU,AUS,Agricultural products,NA,NA
NIU,BMU,Agricultural products,NA,NA
NIU,CZE,Fossil fuels,24.169,13.009
NIU,JPN,Agricultural products,13.221,3
NIU,KOR,Agricultural products,160.429,45
NIU,LTU,Forestry products,40.9,11.304
NIU,LUX,Metals and minerals,NA,NA
NIU,NZL,Agricultural products,106.391,45.453
NIU,POL,Agricultural products,4.506,32.519
NIU,POL,Metals and minerals,NA,NA
NIU,TUR,Metals and minerals,NA,NA
NIU,GBR,Agricultural products,NA,NA
NIU,USA,Agricultural products,NA,NA
NFK,AUS,Agricultural products,43.868,14.348
NFK,AUS,Metals and minerals,1.211,2.9
NFK,BEL,Agricultural products,158.105,29.904
NFK,NLD,Agricultural products,13.479,0.202
NFK,NZL,Agricultural products,8.355,25.529
NFK,NZL,Forestry products,70.225,45.666
NFK,NZL,Metals and minerals,23.388,30.372
NFK,PAK,Forestry products,NA,NA
NFK,PAK,Metals and minerals,13.349,34
NFK,USA,Agricultural products,NA,NA
NOR,ALB,Agricultural products,803.398,378.888
NOR,DZA,Agricultural products,63.984,3.061
NOR,DZA,Fertilizers,27.286,46.19
NOR,DZA,Fossil fuels,12.05,1.014
NOR,DZA,Metals and minerals,1861.8148807,2789.0583511
NOR,AND,Agricultural products,1.347,0.1
NOR,AGO,Agricultural products,3935.269,782.199
NOR,AGO,Fossil fuels,59.695,1.903
NOR,AGO,Metals and minerals,668.148,495.65
NOR,ATG,Agricultural products,23.131,4.203
NOR,AZE,Agricultural products,546.2762672,189.97155938
NOR,AZE,Fossil fuels,3.39562689,1.90882526
NOR,AZE,Metals and minerals,8282.85925083,724.123827
NOR,ARG,Agricultural products,576.25074178,89.75573029
NOR,ARG,Fertilizers,23811.559,81040.2
NOR,ARG,Fossil fuels,75910.2197,290448.511
NOR,ARG,Metals and minerals,2476.772878,2632.0177698
NOR,AUS,Agricultural products,67652.72211834,9452.17666214
NOR,AUS,Fertilizers,9786.93337,35869.8520227
NOR,AUS,Forestry products,219.8904645,103.6381443
NOR,AUS,Fossil fuels,330.1381553,6880.9354933
NOR,AUS,Metals and minerals,5063.18655225,1551.55002453
NOR,AUS,Pearls and gemstones,1.014,0.009
NOR,AUT,Agricultural products,6300.4,810.018
NOR,AUT,Forestry products,797.333,1487.472
NOR,AUT,Fossil fuels,26.865,0.654
NOR,AUT,Metals and minerals,102030.399,53596.189
NOR,BHS,Agricultural products,3.577,5.671
NOR,BHS,Fossil fuels,72727.346,266901.154
NOR,BHS,Metals and minerals,774.188,79565.584
NOR,BHR,Agricultural products,5600.7680213,747.15030859
NOR,BHR,Forestry products,63.0431154,69.4054373
NOR,BHR,Metals and minerals,526.726,202.008
NOR,BGD,Agricultural products,178.875,54.189
NOR,BGD,Forestry products,3157,6508.147
NOR,BGD,Metals and minerals,237.912,349.12
NOR,ARM,Agricultural products,966.58461799,700.22296918
NOR,ARM,Fertilizers,121.631,256.8
NOR,ARM,Fossil fuels,0.013,0.004
NOR,ARM,Metals and minerals,11.527,0.463
NOR,BRB,Agricultural products,619.81359870000006,112.00077101
NOR,BRB,Metals and minerals,6.96375265,11.4365154
NOR,BEL,Agricultural products,79157.15368167,14235.98332826
NOR,BEL,Fertilizers,16761.3304421,64385.791465
NOR,BEL,Forestry products,39516.97035,110453.989179
NOR,BEL,Fossil fuels,3152550.94444,9076046.96727
NOR,BEL,Metals and minerals,184290.40691223,1049099.86639823
NOR,BEL,Pearls and gemstones,164.046,0.003
NOR,BMU,Metals and minerals,2.283,0.723
NOR,BOL,Agricultural products,20.379,27
NOR,BOL,Fertilizers,1336.366,3030.766
NOR,BOL,Metals and minerals,46.649,1.854
NOR,BIH,Agricultural products,898.285213,65.593
NOR,BIH,Fertilizers,235.365,501.6
NOR,BIH,Forestry products,1.353,0.309
NOR,BIH,Fossil fuels,89.385,173
NOR,BIH,Metals and minerals,2524.259,1514.501
NOR,BWA,Metals and minerals,0.574,0.013
NOR,BRA,Agricultural products,129414.79114623,24757.61598181
NOR,BRA,Fertilizers,127494.577822,479527.6915743
NOR,BRA,Forestry products,3271.5171643,3016.86977799
NOR,BRA,Fossil fuels,47432.2028656,143024.61839238
NOR,BRA,Metals and minerals,42617.94581345,37440.68694993
NOR,BRN,Agricultural products,612.432,72.125
NOR,BGR,Agricultural products,6382.6632507,1375.59341834
NOR,BGR,Fertilizers,7911.238,23391.19
NOR,BGR,Metals and minerals,155.35471309,59.85354621
NOR,MMR,Agricultural products,606.0557308,59.80929396
NOR,MMR,Fertilizers,5.63,11.26
NOR,BLR,Agricultural products,142841.1515131,46744.0950801
NOR,BLR,Fertilizers,434.1,1126.275
NOR,BLR,Forestry products,13.9,6.096
NOR,BLR,Metals and minerals,416.3497443,688.7327709
NOR,KHM,Agricultural products,162.459,202.106
NOR,CMR,Agricultural products,202.53,122.81
NOR,CMR,Metals and minerals,0.25,0.15
NOR,CAN,Agricultural products,98228.67472741,21017.84998948
NOR,CAN,Fertilizers,7003.028,18072.633
NOR,CAN,Forestry products,3567.47404483,8888.70605689
NOR,CAN,Fossil fuels,688940.45749151,1762076.79814704
NOR,CAN,Metals and minerals,56078.5294487,59481.73997851
NOR,CPV,Agricultural products,63.954,4.491
NOR,LKA,Agricultural products,1218.6902852,436.62632241
NOR,LKA,Fertilizers,2448.151,3617.517
NOR,LKA,Metals and minerals,2427.31008528,7205.90279727
NOR,CHL,Agricultural products,1708.32485621,866.09404561
NOR,CHL,Fertilizers,951.211,2431.998
NOR,CHL,Forestry products,11.178,0.885
NOR,CHL,Fossil fuels,43756.0584005,180151.84905477
NOR,CHL,Metals and minerals,1773.462393,17171.14907633
NOR,CHN,Agricultural products,357115.91388894,157193.72538546
NOR,CHN,Fertilizers,197896.665228,378865.2797409
NOR,CHN,Forestry products,63566.34494762,123737.06309423
NOR,CHN,Fossil fuels,450205.6051022,1205707.85442057
